,id,ra,dec,z_spec,z_phot,log_mass,log_sfr,is_mass_clumpy,is_UV_clumpy
77,1099,150.46095,1.6767414,-1.0,0.612,10.08,0.9388198250262104,True,False
78,1113,150.463,1.6772875,-1.0,0.909,9.93,0.7811088357294664,True,False
79,1165,150.65172,1.679601,-1.0,1.027,10.08,-0.5867002359187481,True,False
80,1192,150.46072,1.6805668,-1.0,1.424,10.76,0.4046627008737222,False,False
81,1202,150.46021,1.6808707,-1.0,0.89,9.87,0.959613711071044,False,False
82,1207,150.38353,1.6810297,-1.0,1.574,10.59,2.121106602179633,True,True
83,1215,150.47342,1.6810464,-1.0,0.872,10.22,1.3098004456017336,False,False
84,1217,150.40083,1.6816342,-1.0,1.449,10.39,0.1586639808139893,False,False
85,1219,150.39639,1.6796947,-1.0,1.958,10.97,2.01638977278846,True,True
86,1246,150.62131,1.6814007,-1.0,0.872,10.72,1.1443873741019368,False,True
87,1289,150.58189,1.6806055,-1.0,1.088,10.63,2.4355847942918074,True,True
88,1290,150.6554,1.6831789,-1.0,0.948,9.85,0.7531999141994161,True,True
89,1299,150.66739,1.6821084,-1.0,1.217,10.54,1.4340416827542717,False,True
90,1336,150.37961,1.6832792,-1.0,1.109,10.98,1.9970542012464727,False,False
91,1351,150.68877,1.6848857,-1.0,1.548,10.05,0.6767850304192056,True,False
92,1354,150.42999,1.6844687,-1.0,1.007,10.4,1.9000447024025875,False,False
93,1357,150.60281,1.6843674,-1.0,1.261,10.24,1.4117880045438689,True,True
94,1375,150.43498,1.6847506,-1.0,0.694,10.0,0.333850145102545,False,False
95,1392,150.46062,1.6855704,-1.0,1.007,10.4,0.4951278812429331,False,True
96,1411,150.44855,1.685636,-1.0,1.498,11.05,2.045678876144631,False,False
97,1415,150.64282,1.6862297,-1.0,1.027,10.12,1.085290578230065,True,False
98,1430,150.41441,1.6855233,-1.0,0.948,10.54,1.6759340733734949,False,False
99,1431,150.40485,1.6865283,-1.0,1.284,10.7,1.7960884286806684,False,False
100,1440,150.59325,1.6872402,-1.0,1.239,10.37,0.3068537486930087,False,True
101,1441,150.49683,1.6871127,-1.0,1.498,10.49,1.5336958150954263,False,True
102,1445,150.48119,1.6857102,-1.0,0.628,10.28,0.8200700343123257,False,False
103,1463,150.62561,1.6882069,-1.0,0.763,9.84,1.3241383526550166,False,False
104,1474,150.38875,1.6878442,-1.0,1.625,10.47,1.8775038027650912,True,True
105,1494,150.42604,1.6890488,-1.0,0.948,9.96,1.162325389190677,False,True
106,1496,150.42683,1.68726,-1.0,0.948,11.12,1.9082919562029197,False,True
107,1501,150.48717,1.6887984,-1.0,0.853,10.48,1.442918545369842,False,True
108,1503,150.63078,1.6887894,-1.0,0.645,10.44,0.6276730317666159,False,True
109,1505,150.58788,1.6897216,-1.0,1.498,10.64,0.3785795761157747,False,False
110,1511,150.37465,1.6873868,-1.0,1.068,10.69,0.8714561740229538,False,False
111,1583,150.47128,1.691468,-1.0,0.746,9.92,0.8473875510273954,True,True
112,1587,150.4771,1.6910528,-1.0,0.628,10.08,0.638389407665336,False,True
113,1605,150.4752,1.6920729,-1.0,1.424,10.54,1.3517576668790343,False,False
114,1606,150.48096,1.6928673,-1.0,0.781,9.87,0.9965554496333652,False,False
115,1621,150.62526,1.6920748,-1.0,1.732,10.88,2.354068082475403,False,True
116,1632,150.62549,1.6914694,-1.0,1.625,10.33,2.057361762985039,True,True
117,1635,150.62712,1.6887167,-1.0,0.694,10.53,1.0573237053692843,False,False
118,1636,150.48753,1.6931432,-1.0,0.909,10.0,1.0929310756735524,False,True
119,1647,150.48169,1.693904,-1.0,0.781,9.96,1.1331235754026197,False,False
120,1659,150.47894,1.6941142,-1.0,1.261,10.43,1.4119057747568176,False,False
121,1665,150.66568,1.6940854,-1.0,1.261,10.58,1.3798129558609444,False,False
122,1667,150.63736,1.693651,-1.0,1.284,10.8,1.0943313492770963,False,True
123,1695,150.58577,1.6947205,-1.0,0.948,10.37,1.4833162240422322,False,True
124,1715,150.61922,1.696265,-1.0,1.152,10.22,0.657629431388952,False,True
125,1738,150.40019,1.6958549,-1.0,0.596,10.06,0.2612628687924935,False,True
126,1772,150.46323,1.6974721,-1.0,1.109,10.19,1.304361254225308,True,True
127,1776,150.68951,1.6971347,0.6645,0.645,10.67,0.1017470739463662,False,False
128,1779,150.61938,1.694873,-1.0,0.504,9.86,0.3023309286843992,False,True
129,1788,150.66905,1.6983807,-1.0,1.353,10.11,0.5211380837040362,False,True
130,1819,150.45692,1.6958312,-1.0,0.763,11.25,1.4076797714411935,False,True
131,1824,150.46931,1.6993099,-1.0,1.217,10.16,1.0767860335080792,True,True
132,1862,150.6678,1.7002091,-1.0,1.239,10.47,1.642227027810809,True,True
133,1891,150.43269,1.7012236,-1.0,0.711,10.15,0.856366323659248,False,False
134,1914,150.47662,1.7026114,-1.0,1.523,10.66,0.1357685145678222,False,True
135,1921,150.45975,1.7028224,-1.0,0.835,10.38,0.5542468081661106,False,False
136,1938,150.4649,1.7032673,-1.0,1.498,10.41,0.4060289449636151,False,False
137,1941,150.38371,1.7034295,-1.0,0.928,10.2,1.3707165885395458,False,False
138,1955,150.61792,1.7037791,-1.0,1.239,10.61,1.6160867330094897,False,False
139,1962,150.63879,1.700605,-1.0,0.928,10.81,1.3582395081717715,False,True
140,1964,150.45036,1.7038594,-1.0,1.088,10.03,0.52283531366053,False,True
141,1975,150.62509,1.7037708,-1.0,0.835,9.95,1.1088355279346058,True,True
142,1976,150.46716,1.7047139,-1.0,0.948,9.97,1.1360860973840974,False,False
143,1980,150.66489,1.7044791,-1.0,1.449,10.37,0.5919545550467354,False,True
144,1986,150.46838,1.7033238,-1.0,1.473,11.18,1.596926814342971,False,False
145,2015,150.50256,1.7054514,-1.0,1.007,10.25,0.9501213475113732,False,False
146,2030,150.37569,1.7045243,-1.0,0.565,10.12,0.752739693935328,False,False
147,2035,150.63716,1.7061424,-1.0,1.173,10.39,0.0737183503461226,False,False
148,2048,150.66541,1.705828,0.6958,0.694,10.2,0.7844033017530084,True,True
149,2050,150.67287,1.7063233,-1.0,0.58,9.91,-0.0996328713435296,False,True
150,2071,150.50845,1.7068387,0.8214,0.835,10.46,0.8970219560603634,False,False
151,2085,150.4285,1.7073764,-1.0,0.799,9.81,0.3126004392612593,False,False
152,2114,150.49117,1.7077706,-1.0,0.967,10.39,1.504416487324459,False,False
153,2132,150.62543,1.7092977,-1.0,1.109,9.85,0.4129642719966628,True,True
154,2133,150.39188,1.7080852,-1.0,1.523,10.41,1.5090680450171616,True,True
155,2136,150.41342,1.70867,-1.0,0.853,10.1,0.8617135875714342,True,True
156,2149,150.39874,1.7096597,-1.0,1.33,10.09,1.46469814944665,True,True
157,2157,150.47069,1.708505,-1.0,0.835,10.55,0.7637274037656983,False,True
158,2158,150.61826,1.7093751,-1.0,1.787,11.11,2.279349775041557,True,False
159,2177,150.62897,1.7107576,-1.0,1.261,10.52,1.0531553029618794,True,True
160,2181,150.40224,1.7106379,-1.0,1.307,10.03,1.4019516759848276,False,True
161,2201,150.66922,1.7108053,-1.0,1.109,10.28,1.0329811930973678,True,True
162,2217,150.63026,1.7114489,-1.0,1.261,10.0,1.146128035678238,True,True
163,2242,150.60542,1.7127157,-1.0,1.109,10.08,1.310013199479453,True,False
