6057.0,560.3792,0.9882,28.9804,112.9376,424.3471
10462.0,560.7368,19.1195,43.8934,132.6995,379.1355
10902.0,358.7158,-2.327,23.5963,109.178,599.2507
25243.0,449.6969,39.0548,119.8993,138.0416,650.9747
25361.0,217.2993,12.7162,46.4967,33.5567,229.0487
28099.0,89.6054,5.7024,3.7418,22.2407,62.6391
28616.0,507.472,24.2146,91.1963,159.6725,683.949
29014.0,235.0227,12.9379,59.1993,97.3205,229.6974
29906.0,233.6517,5.3972,35.0573,71.7965,188.1804
30968.0,163.0963,-1.8852,36.6899,49.582,210.8224
32841.0,218.649,15.6924,16.5108,52.3221,132.3782
36641.0,306.0232,3.1711,43.3854,135.6795,310.4328
37170.0,323.6626,21.6224,27.4224,96.5397,125.8474
39409.0,354.6886,36.7592,97.1924,295.1014,376.0319
40560.0,2245.6025,74.5201,138.0761,564.3,817.5828
41325.0,2449.1108,552.7566,2447.127,5735.9795,1311.7118
53400.0,117.8725,12.0556,23.603,34.0758,63.5302
54672.0,441.6945,-5.1709,55.4243,39.8936,251.0709
55210.0,216.4169,6.3842,34.4293,115.4326,246.2235
55866.0,1488.6881,20.2546,142.311,675.557,802.2359
56054.0,290.5302,40.1666,114.7778,392.5179,416.0974
56919.0,432.3585,5.3783,51.0296,144.6511,408.5197
58707.0,1429.3287,48.0734,289.4221,747.3049,1092.9667
58710.0,905.9025,42.2082,96.334,375.825,635.7842
59928.0,129.1204,-2.0646,27.0899,63.4791,88.9633
60186.0,669.2486,18.8072,83.9557,237.0611,478.0977
61242.0,607.4417,3.3928,97.9415,166.7885,679.9214
61327.0,145.4908,8.7611,10.325,32.4629,67.4663
64754.0,437.88,13.2427,39.0531,88.4013,369.2749
65508.0,1763.2115,294.7278,1270.9408,3777.614,1832.6689
65699.0,1607.5002,29.101,146.1504,369.8823,1371.6338
67141.0,796.9188,30.1067,95.9777,287.2209,543.5338
68343.0,1093.3062,36.3909,62.1995,369.6595,258.4341
68830.0,798.9261,86.5923,98.6762,339.2797,279.1724
69628.0,465.9121,-14.5196,46.3224,179.0114,497.0258
69821.0,419.7899,36.5803,52.9039,137.3737,667.5448
70416.0,590.5881,17.6977,117.7244,183.3733,542.1727
70987.0,3586.4431,126.776,594.5391,2461.8162,2017.6517
73754.0,2208.8274,133.6403,556.9479,1537.2059,838.6678
