1,130164,1.23,269.1,,6.1,281.9,b,7.3,104.8,9.9,11.08,,0.06,11.47,b,0.08
1,130412,1.23,221.1,,7.1,230.1,,9.5,60.8,4.3,10.79,,0.06,11.15,,0.08
1,130503,1.025,181.1,,4,189.8,,4.8,61,3.4,10.49,,0.06,10.87,,0.07
1,131127,1.23,215.9,,5,223.4,b,6.6,63.4,5.8,10.92,,0.06,11.29,b,0.08
1,133562,0.615,236.2,,7.6,247.7,b,8.8,60.3,9.6,10.69,,0.07,11.06,b,0.1
1,134657,0.82,217.2,,16.5,248.1,b,32.4,61.8,18.9,10.77,,0.12,11.2,b,0.21
1,135457,0.82,157,a,27.2,168.2,b,35.1,118.1,15.5,10.84,a,0.13,11.31,b,0.15
1,135547,0.82,154.9,,5.8,163.5,b,9.4,82.9,8.3,10.46,,0.08,10.89,b,0.12
1,138923,1.64,189.2,,4.1,193,b,4.9,88.6,2.5,10.94,,0.06,11.33,b,0.06
1,139181,1.64,218.3,,7.7,242.9,,8.5,90.8,0.9,10.93,,0.07,11.37,,0.07
1,139741,1.025,172.8,,7.8,178.3,b,8.4,66.3,1.5,10.62,,0.07,11,b,0.08
1,142113,0.82,109.2,,20.8,118.4,,22.4,144.4,46.9,10.46,,0.34,11,,0.49
1,142793,0.82,182,,12.8,195.4,b,21.5,72.1,11.5,10.59,,0.11,11,b,0.19
1,144953,0.82,264.8,,6.8,271.5,b,7.9,87.5,6.7,11.05,,0.06,11.42,b,0.07
1,146596,1.23,185.7,,6.7,192,b,8.8,59.5,2.3,10.82,,0.07,11.19,b,0.09
1,147029,0.615,179,,16.5,197.5,b,25.5,49.6,18.3,10.48,,0.11,10.88,b,0.16
1,149055,0.82,100.7,,9.7,143.4,b,13.4,169.9,2,10.63,,0.06,11.23,b,0.06
1,150047,1.025,213,,10.2,235.7,b,14.7,56,6.7,10.75,,0.08,11.16,b,0.1
1,150278,0.615,180.5,,5.4,188.2,b,6.8,16.7,6.2,10.52,,0.07,10.86,b,0.08
1,152268,0.82,282.1,,17.6,323.1,,36.1,236.2,15.7,11.06,,0.08,11.57,,0.12
1,157594,1.435,249.7,,9.8,258.3,b,13.9,203,8.1,11.23,,0.07,11.7,b,0.08
1,158362,0.82,361.1,,24,377.7,b,34.3,116.1,22.1,11.31,,0.09,11.69,b,0.13
1,158448,1.025,265.3,,5.5,279.7,b,6.9,74.8,2.3,11.06,,0.06,11.44,b,0.06
1,161439,1.23,224.5,,21.3,243.6,b,30.8,91.4,10.6,10.88,,0.12,11.3,b,0.17
1,162620,1.025,123.1,,7,128.7,b,10.5,105.9,5,10.63,,0.07,11.11,b,0.1
1,164755,1.23,180.5,,6,205,,6.4,58.8,3.3,10.59,,0.07,11.03,,0.06
1,165700,0.82,208.2,,8.4,224.7,b,12.6,42.8,5.5,10.74,,0.07,11.12,b,0.1
1,166309,1.435,266.8,,17,341.1,b,24.4,86.4,13.5,11.11,,0.1,11.64,b,0.11
1,168472,0.615,176.5,,9.6,186.8,b,13.5,113,18.5,10.65,,0.11,11.09,b,0.18
1,174095,1.025,196.4,,8.1,219.4,,11.3,51.6,4.3,10.6,,0.07,11.02,,0.09
1,180320,1.435,77.9,,3.8,83.6,,6.1,84.2,0.9,10.29,,0.06,10.8,,0.06
1,181134,1.23,169.4,,19.3,196.8,b,30.8,56.7,6.8,10.73,,0.15,11.18,b,0.24
1,183376,0.615,186.2,,13.6,199.4,b,19.8,64.4,18.5,10.51,,0.12,10.91,b,0.19
1,188059,1.025,157.2,,16.2,170.7,b,24,101.5,3.7,10.71,,0.1,11.17,b,0.14
1,190420,1.64,233.6,,23.1,263.5,b,34.5,112.3,5,11.23,,0.12,11.69,b,0.18
1,193361,0.615,233.3,,17.7,253.4,b,29.6,84.5,12.6,10.8,,0.09,11.21,b,0.14
1,196913,1.64,296.8,,23.4,306.3,b,27.3,114.4,12.3,11.24,,0.11,11.62,b,0.14
1,198344,0.82,355.3,,22.8,379.9,b,34.9,47.9,11.1,11.27,,0.1,11.64,b,0.17
1,198553,1.025,195.6,,10.6,201.2,b,13.1,110.1,13.7,10.98,,0.1,11.4,b,0.15
1,198831,1.025,173.2,,18.7,194.9,b,30.1,40.2,17,10.67,,0.14,11.09,b,0.22
1,199389,0.82,190.1,,10.2,205.6,,15.1,119.1,13,10.62,,0.09,11.08,,0.12
1,199592,0.82,197.6,,7.8,208.8,,10.6,88.3,5.4,10.53,,0.06,10.94,,0.07
1,201268,1.435,282.4,,23.8,336.1,b,39.5,111.2,15.9,11.19,,0.1,11.67,b,0.15
1,204042,1.64,378.7,,13.9,395.2,b,17.8,39.2,16.4,11.53,,0.07,11.87,b,0.09
1,204090,1.23,229.1,,5,234.7,b,6.2,148.3,6,11.15,,0.06,11.59,b,0.07
1,205906,1.23,218.6,,13.8,225.7,b,18.2,94.3,9.5,11.05,,0.08,11.44,b,0.09
1,206042,2.05,105.7,,2.2,108.2,b,2.5,56.4,1.8,10.46,,0.06,10.87,b,0.06
1,206098,1.435,214,,7.2,221.7,,8.4,112.5,12.4,10.8,,0.08,11.21,,0.11
